OrderID,OrderDate,CustomerName,Item,Category,Quantity,UnitPrice,TotalPrice,PaymentMethod,City,Rating
1013,2025-01-06,Aditya Iyer,Sandwich,food,3.0,150.0,450.0,Wallet,Delhi,3.0
1007,2025-04-20,Kavya Nair,Bagel,BAKERY,1.0,100.0,100.0,Wallet,Delhi,5.0
1183,2025-02-22,Diya Pillai,Muffin,BAKERY,2.0,90.0,180.0,Cash,Bengaluru,2.0
1162,2025-06-07,Ishaan Kapoor,Brownie,BAKERY,1.0,110.0,110.0,Card,Bengaluru,3.0
1129,2025-04-12,,Cappuccino,Beverages,1.0,130.0,130.0,Card,Hyderabad,1.0
1123,2025-07-20,,Cheesecake,Dessert,1.0,170.0,170.0,UPI,Mumbai,3.0
1102,2025-01-26,Aditya Mehta,Espresso,Beverage,3.0,110.0,330.0,,Delhi,1.0
1087,2025-02-18,Aditya Iyer,Cheesecake,Dessert,1.0,,,Wallet,Pune,3.0
1065,2025-03-05,Neha Patel,Iced Tea,Beverages,2.0,120.0,240.0,UPI,Pune,2.0
1048,2025-01-24,Meera Reddy,Iced Tea,beverage,2.0,120.0,240.0,Card,Hyderabad,3.0
1159,2025-03-09,Diya Verma,Sandwich,Food,1.0,150.0,150.0,Wallet,Delhi,3.0
1035,2025-07-05,Amit Nair,Burger,food,1.0,180.0,180.0,Card,Chennai,1.0
1039,2025-07-18,Pooja Mehta,Salad,Food,2.0,160.0,320.0,Card,Pune,1.0
1197,2025-03-10,Rohan Mehta,Latte,beverage,3.0,140.0,420.0,Card,Pune,2.0
1005,2025-05-27,Pooja Verma,Cheesecake,dessert,2.0,170.0,340.0,Card,Pune,1.0
1073,2025-03-06,Rahul Chatterjee,Muffin,BAKERY,2.0,90.0,180.0,Cash,Delhi,4.0
1068,2025-07-05,Amit Iyer,Iced Tea,beverage,3.0,120.0,360.0,Wallet,Bengaluru,3.0
1146,2025-02-01,Sara Nair,Ice Cream,Dessert,2.0,130.0,260.0,Card,Mumbai,3.0
1157,2025-06-23,Ishaan Patel,Bagel,Bakery,1.0,100.0,100.0,Wallet,Bengaluru,3.0
1116,2025-01-23,Manish Reddy,Ice Cream,dessert,1.0,130.0,130.0,UPI,Kolkata,4.0
1156,2025-03-02,Priya Reddy,Burger,Food,,180.0,,UPI,Pune,5.0
1016,2025-04-02,Priya Chatterjee,Cheesecake,dessert,2.0,170.0,340.0,UPI,Delhi,4.0
1062,2025-06-27,Kavya Iyer,Iced Tea,Beverage,3.0,120.0,360.0,UPI,Pune,2.0
1176,2025-01-04,Meera Iyer,Salad,food,1.0,160.0,160.0,Card,Chennai,5.0
1121,2025-07-18,,Muffin,Bakery,1.0,90.0,90.0,Cash,Mumbai,4.0
1131,2025-03-01,Manish Sharma,Burger,Food,2.0,180.0,360.0,UPI,Chennai,3.0
1024,2025-07-11,Sneha Singh,Burger,food,1.0,180.0,180.0,Cash,Bengaluru,1.0
1154,2025-01-17,Manish Pillai,Cheesecake,dessert,1.0,170.0,,Card,Delhi,2.0
1032,2025-05-03,Neha Singh,Hot Chocolate,Beverage,1.0,160.0,160.0,Cash,Mumbai,2.0
1104,2025-05-02,Neha Reddy,Cold Brew,beverage,1.0,200.0,200.0,UPI,Delhi,2.0
1090,2025-03-18,Ananya Chatterjee,Cheesecake,Dessert,2.0,170.0,340.0,Wallet,Hyderabad,3.0
1133,2025-04-05,Anjali Das,Brownie,Bakery,3.0,110.0,330.0,UPI,Bengaluru,1.0
1110,2025-06-02,Anjali Singh,Chocolate Cake,Dessert,2.0,180.0,360.0,Wallet,Delhi,
1127,2025-03-17,,Cappuccino,Beverage,2.0,130.0,260.0,Cash,Kolkata,3.0
1018,2025-05-17,Sneha Verma,Chocolate Cake,dessert,1.0,180.0,180.0,Cash,Bengaluru,4.0
1031,2025-06-06,Manish Pillai,Burger,Food,1.0,180.0,180.0,Card,Mumbai,5.0
1179,2025-02-24,Neha Verma,Brownie,bakery,3.0,110.0,330.0,Card,Pune,
1163,2025-06-06,Meera Bhat,Salad,food,1.0,160.0,160.0,Card,Mumbai,2.0
1078,2025-05-02,Karan Singh,Sandwich,Food,2.0,150.0,300.0,Card,Hyderabad,1.0
1074,2025-05-07,Kavya Verma,Espresso,Beverages,3.0,110.0,330.0,Card,Bengaluru,4.0
1072,2025-07-11,Neha Iyer,Cappuccino,beverage,1.0,130.0,130.0,Cash,Mumbai,1.0
1079,2025-02-23,Neha Das,Sandwich,Food,2.0,150.0,300.0,Wallet,Hyderabad,4.0
1043,2025-05-17,Ishaan Nair,Salad,Food,3.0,160.0,480.0,UPI,Mumbai,5.0
1134,2025-01-03,Ishaan Mehta,Bagel,Bakery,1.0,100.0,100.0,Cash,Pune,2.0
1193,2025-04-06,Ishaan Patel,Croissant,bakery,2.0,120.0,240.0,Cash,Mumbai,1.0
1014,2025-02-03,Karan Patel,Chocolate Cake,Dessert,2.0,180.0,360.0,Cash,Bengaluru,3.0
1147,2025-01-31,Amit Pillai,Ice Cream,Dessert,2.0,130.0,260.0,Cash,Delhi,3.0
1075,2025-02-07,Arjun Malhotra,Burger,food,1.0,,,Card,Chennai,5.0
1006,2025-05-21,Aditya Reddy,Chocolate Cake,Dessert,2.0,180.0,360.0,Card,Hyderabad,1.0
1115,2025-04-18,Karan Mehta,Croissant,Bakery,1.0,120.0,120.0,UPI,Chennai,3.0
1103,2025-01-01,Kavya Das,Salad,Food,2.0,160.0,320.0,UPI,Bengaluru,5.0
1182,2025-07-15,Ananya Kapoor,Muffin,BAKERY,1.0,90.0,90.0,Cash,Kolkata,5.0
1122,2025-01-03,Arjun Gupta,Espresso,beverage,2.0,110.0,220.0,,Mumbai,2.0
1169,2025-01-16,Anjali Chatterjee,Salad,food,1.0,160.0,160.0,Card,Chennai,1.0
1172,2025-06-10,Rahul Iyer,Pasta,Food,2.0,220.0,440.0,UPI,Chennai,3.0
1025,2025-02-22,Ishaan Kapoor,Espresso,beverage,3.0,110.0,330.0,,Pune,1.0
1145,2025-05-02,Anjali Kapoor,Chocolate Cake,Dessert,2.0,180.0,360.0,Wallet,Pune,2.0
1093,2025-03-04,Rohan Singh,Latte,beverage,2.0,140.0,280.0,Card,Pune,2.0
1009,2025-03-15,Rohan Malhotra,Cold Brew,Beverage,2.0,200.0,400.0,UPI,Delhi,4.0
1054,2025-03-28,Anjali Verma,Cappuccino,Beverages,1.0,130.0,130.0,Cash,Mumbai,1.0
1028,2025-07-09,Rahul Patel,Cappuccino,Beverage,1.0,,,Card,Kolkata,4.0
1106,2025-04-05,Sneha Chatterjee,Pasta,Food,1.0,220.0,220.0,Card,Delhi,4.0
1119,2025-04-03,Karan Malhotra,Bagel,bakery,1.0,100.0,100.0,Cash,Pune,3.0
1164,2025-05-14,Ananya Sharma,Bagel,Bakery,2.0,100.0,200.0,UPI,Hyderabad,1.0
1044,2025-04-25,Sneha Reddy,Cappuccino,Beverage,2.0,130.0,260.0,UPI,Pune,2.0
1058,2025-03-04,,Brownie,BAKERY,2.0,110.0,220.0,Card,Pune,4.0
1166,2025-07-01,Diya Nair,Burger,Food,1.0,180.0,180.0,Cash,Kolkata,2.0
1023,2025-01-30,Arjun Mehta,Espresso,beverage,2.0,,,UPI,Mumbai,1.0
1181,2025-02-05,Manish Nair,Chocolate Cake,dessert,1.0,180.0,180.0,Cash,Chennai,1.0
1188,2025-02-25,Meera Reddy,Croissant,bakery,2.0,120.0,240.0,Cash,Pune,5.0
1161,2025-06-19,Anjali Kapoor,Bagel,bakery,2.0,100.0,200.0,,Hyderabad,5.0
1088,2025-02-22,Diya Gupta,Pasta,Food,3.0,220.0,660.0,Wallet,Pune,5.0
1135,2025-01-09,Ishaan Bhat,Hot Chocolate,Beverages,2.0,160.0,320.0,UPI,Chennai,2.0
1064,2025-02-16,Diya Patel,Latte,Beverages,1.0,140.0,140.0,,Bengaluru,3.0
1141,2025-06-14,Karan Gupta,Chocolate Cake,Dessert,1.0,180.0,180.0,Cash,Pune,2.0
1194,2025-04-28,Vikram Das,Espresso,beverage,2.0,110.0,220.0,Card,Mumbai,2.0
1136,2025-06-19,Sneha Reddy,Burger,Food,2.0,180.0,360.0,Cash,Kolkata,4.0
1046,2025-02-05,Kavya Pillai,Cold Brew,Beverages,1.0,200.0,200.0,UPI,Bengaluru,3.0
1036,2025-02-24,Manish Reddy,Cheesecake,dessert,1.0,170.0,170.0,Card,Chennai,3.0
1066,2025-05-31,Rahul Gupta,Brownie,Bakery,1.0,110.0,110.0,Cash,Bengaluru,
1051,2025-04-19,Kavya Das,Espresso,Beverages,1.0,110.0,110.0,UPI,Kolkata,2.0
1126,2025-02-04,Kavya Pillai,Croissant,bakery,2.0,120.0,240.0,Wallet,Bengaluru,2.0
1099,2025-07-20,Sneha Sharma,Muffin,bakery,2.0,90.0,180.0,Wallet,Mumbai,2.0
1017,2025-01-04,Arjun Pillai,Cheesecake,Dessert,1.0,170.0,170.0,Card,Bengaluru,2.0
1020,2025-01-18,Arjun Bhat,Iced Tea,Beverages,2.0,120.0,240.0,Wallet,Chennai,2.0
1109,2025-01-28,Aditya Gupta,Ice Cream,Dessert,2.0,130.0,260.0,,Hyderabad,3.0
1045,2025-04-20,Amit Bhat,Croissant,bakery,2.0,120.0,240.0,UPI,Chennai,2.0
1069,2025-02-05,Anjali Iyer,Cheesecake,Dessert,3.0,170.0,510.0,Wallet,Delhi,5.0
1077,2025-03-15,Sneha Das,Croissant,BAKERY,1.0,120.0,120.0,Wallet,Hyderabad,5.0
1142,2025-03-14,Arjun Malhotra,Hot Chocolate,Beverage,2.0,160.0,320.0,Card,Bengaluru,3.0
1113,2025-07-11,Manish Malhotra,Chocolate Cake,dessert,1.0,180.0,180.0,Card,Delhi,5.0
1011,2025-06-02,Sneha Bhat,Bagel,BAKERY,1.0,100.0,100.0,UPI,Hyderabad,3.0
1085,2025-01-20,Aditya Das,Hot Chocolate,Beverages,2.0,160.0,,Wallet,Kolkata,5.0
1012,2025-01-16,Sneha Nair,Sandwich,Food,,150.0,,UPI,Mumbai,1.0
1056,2025-05-16,Sara Das,Bagel,Bakery,1.0,100.0,100.0,UPI,Delhi,3.0
1089,2025-05-05,Kavya Sharma,Pasta,food,2.0,220.0,440.0,Card,Delhi,3.0
1177,2025-02-19,Sara Das,Cappuccino,Beverage,1.0,130.0,130.0,Card,Delhi,3.0
1112,2025-07-07,Ananya Kapoor,Bagel,Bakery,2.0,100.0,200.0,Wallet,Delhi,3.0
1137,2025-04-15,Pooja Mehta,Muffin,BAKERY,1.0,90.0,90.0,Wallet,Delhi,3.0
1010,2025-02-08,Anjali Malhotra,Croissant,BAKERY,2.0,120.0,240.0,Card,Kolkata,3.0
1138,2025-04-02,Aditya Iyer,Cold Brew,beverage,1.0,200.0,200.0,UPI,Delhi,5.0
1033,2025-07-10,Sara Bhat,Latte,Beverages,3.0,140.0,420.0,Wallet,Mumbai,4.0
1030,2025-02-26,Priya Pillai,Hot Chocolate,beverage,3.0,160.0,480.0,UPI,Hyderabad,1.0
1040,2025-03-25,Amit Mehta,Cheesecake,dessert,2.0,170.0,340.0,Cash,Pune,1.0
1186,2025-05-09,Diya Das,Cold Brew,Beverages,3.0,200.0,600.0,UPI,Hyderabad,5.0
1057,2025-03-06,Vikram Das,Sandwich,Food,1.0,150.0,150.0,UPI,Kolkata,1.0
1187,2025-01-08,,Cold Brew,Beverage,3.0,200.0,600.0,Cash,Kolkata,4.0
1195,2025-04-26,Amit Reddy,Bagel,bakery,2.0,100.0,200.0,UPI,Pune,2.0
1092,2025-05-21,Arjun Malhotra,Chocolate Cake,Dessert,1.0,180.0,180.0,Card,Pune,4.0
1060,2025-01-14,Vikram Pillai,Latte,Beverages,3.0,140.0,420.0,Card,Mumbai,3.0
1175,2025-06-23,Ishaan Chatterjee,Espresso,Beverage,1.0,110.0,110.0,UPI,Delhi,5.0
1037,2025-02-03,Aditya Reddy,Cappuccino,Beverage,1.0,130.0,130.0,UPI,Pune,4.0
1178,2025-06-28,Arjun Patel,Cappuccino,beverage,3.0,130.0,390.0,Wallet,Mumbai,
1053,2025-01-22,Sara Bhat,Muffin,bakery,1.0,90.0,90.0,Cash,Kolkata,3.0
1192,2025-01-27,Rohan Singh,Chocolate Cake,Dessert,3.0,180.0,540.0,Cash,Mumbai,5.0
1049,2025-04-09,Diya Sharma,Latte,Beverage,2.0,140.0,280.0,Wallet,Delhi,1.0
1097,2025-06-15,,Ice Cream,Dessert,1.0,130.0,130.0,Card,Mumbai,4.0
1076,2025-01-16,Ishaan Das,Cold Brew,Beverage,2.0,200.0,400.0,Card,Chennai,4.0
1152,2025-07-19,Rahul Reddy,Bagel,Bakery,3.0,100.0,300.0,Card,Chennai,3.0
1081,2025-04-11,,Croissant,BAKERY,1.0,120.0,120.0,Card,Mumbai,4.0
1100,2025-01-22,Manish Pillai,Cheesecake,Dessert,2.0,,,Cash,Kolkata,4.0
1125,2025-06-09,,Latte,Beverages,2.0,140.0,280.0,Cash,Chennai,3.0
1155,2025-02-06,Diya Nair,Espresso,Beverages,1.0,110.0,110.0,UPI,Kolkata,4.0
1118,2025-01-09,Sneha Sharma,Pasta,Food,3.0,220.0,660.0,Wallet,Chennai,4.0
1086,2025-06-19,,Pasta,food,1.0,220.0,220.0,UPI,Chennai,1.0
1002,2025-04-18,Diya Nair,Bagel,BAKERY,1.0,100.0,100.0,Cash,Chennai,4.0
1114,2025-03-26,Karan Sharma,Cold Brew,Beverage,3.0,200.0,600.0,Wallet,Kolkata,3.0
1165,2025-02-22,Diya Reddy,Cappuccino,beverage,2.0,130.0,260.0,UPI,Pune,2.0
1117,2025-04-04,Ananya Kapoor,Burger,Food,1.0,180.0,180.0,Wallet,Bengaluru,
1019,2025-04-11,Diya Nair,Latte,Beverages,3.0,140.0,420.0,Cash,Mumbai,5.0
1196,2025-05-29,Pooja Kapoor,Latte,Beverages,2.0,140.0,,Wallet,Delhi,3.0
1055,2025-01-29,Pooja Bhat,Espresso,Beverage,1.0,110.0,110.0,Cash,Pune,2.0
1189,2025-03-15,,Cold Brew,Beverages,2.0,200.0,400.0,Cash,Pune,2.0
1029,2025-05-01,Rohan Pillai,Salad,food,1.0,160.0,160.0,Cash,Chennai,3.0
1128,2025-03-05,Priya Nair,Espresso,beverage,1.0,110.0,110.0,UPI,Bengaluru,4.0
1190,2025-05-07,Ananya Sharma,Hot Chocolate,beverage,1.0,160.0,160.0,Wallet,Delhi,2.0
1050,2025-01-27,Ishaan Reddy,Cold Brew,Beverage,1.0,200.0,200.0,Cash,Kolkata,2.0
1095,2025-02-23,Vivek Pillai,Brownie,BAKERY,2.0,,,Wallet,Mumbai,5.0
1021,2025-05-26,Vikram Singh,Chocolate Cake,Dessert,1.0,180.0,180.0,Cash,Chennai,1.0
1038,2025-02-03,Ananya Chatterjee,Hot Chocolate,beverage,3.0,160.0,480.0,Wallet,Kolkata,5.0
1080,2025-06-04,Vikram Malhotra,Muffin,Bakery,3.0,90.0,270.0,UPI,Hyderabad,2.0
1124,2025-01-17,Anjali Malhotra,Salad,Food,2.0,160.0,320.0,Card,Bengaluru,4.0
1034,2025-04-30,Kavya Kapoor,Chocolate Cake,Dessert,1.0,180.0,180.0,Cash,Bengaluru,5.0
1008,2025-06-28,Ishaan Singh,Sandwich,food,1.0,150.0,150.0,Card,Kolkata,2.0
1063,2025-03-09,Aditya Sharma,Sandwich,Food,1.0,150.0,150.0,UPI,Mumbai,1.0
1199,2025-02-20,Sara Pillai,Latte,Beverages,1.0,140.0,140.0,Cash,Bengaluru,1.0
1200,2025-02-20,Arjun Mehta,Cheesecake,dessert,3.0,170.0,510.0,UPI,Mumbai,3.0
1158,2025-01-13,Ishaan Chatterjee,Iced Tea,Beverages,1.0,120.0,120.0,Cash,Kolkata,5.0
1098,2025-05-31,Karan Bhat,Cold Brew,Beverages,1.0,200.0,200.0,Cash,Mumbai,4.0
1111,2025-04-17,Amit Chatterjee,Iced Tea,Beverages,1.0,120.0,120.0,Cash,Pune,2.0
1105,2025-02-19,Rahul Pillai,Cappuccino,Beverages,2.0,130.0,260.0,UPI,Chennai,1.0
1070,2025-01-11,Rahul Gupta,Salad,Food,3.0,160.0,480.0,Card,Chennai,1.0
1091,2025-05-23,Priya Kapoor,Espresso,beverage,3.0,110.0,330.0,Card,Hyderabad,4.0
1130,2025-01-10,Priya Pillai,Salad,Food,3.0,160.0,,Cash,Delhi,4.0
1061,2025-01-15,Amit Sharma,Muffin,BAKERY,3.0,90.0,,UPI,Mumbai,2.0
1003,2025-02-01,Kavya Pillai,Muffin,BAKERY,2.0,90.0,180.0,,Kolkata,5.0
1067,2025-05-16,Ananya Bhat,Brownie,bakery,1.0,,,Card,Chennai,5.0
1151,2025-04-24,Arjun Malhotra,Muffin,Bakery,1.0,90.0,90.0,Wallet,Hyderabad,1.0
1082,2025-07-06,Neha Mehta,Brownie,bakery,3.0,110.0,330.0,Wallet,Mumbai,3.0
1027,2025-07-19,Priya Reddy,Hot Chocolate,Beverages,1.0,160.0,160.0,Card,Pune,5.0
1143,2025-03-19,Sara Reddy,Chocolate Cake,Dessert,1.0,180.0,180.0,Wallet,Mumbai,2.0
1168,2025-04-24,Priya Sharma,Bagel,BAKERY,2.0,100.0,200.0,UPI,Pune,5.0
1094,2025-03-08,Kavya Mehta,Latte,Beverage,1.0,140.0,140.0,UPI,Bengaluru,3.0
1173,2025-01-21,Ananya Chatterjee,Burger,Food,2.0,180.0,360.0,Wallet,Delhi,4.0
1149,2025-01-01,Meera Bhat,Hot Chocolate,beverage,2.0,160.0,320.0,Wallet,Bengaluru,1.0
1167,2025-04-13,Amit Singh,Croissant,Bakery,3.0,120.0,360.0,Card,Kolkata,3.0
1120,2025-01-01,Priya Patel,Bagel,bakery,3.0,100.0,300.0,UPI,Hyderabad,3.0
1150,2025-05-02,Anjali Singh,Sandwich,Food,2.0,150.0,300.0,Wallet,Kolkata,2.0
1139,2025-02-22,Meera Bhat,Brownie,bakery,3.0,110.0,,Card,Mumbai,4.0
1170,2025-01-04,Pooja Sharma,Iced Tea,Beverages,1.0,120.0,,Card,Chennai,1.0
1108,2025-02-21,Neha Gupta,Cold Brew,Beverage,2.0,200.0,400.0,Cash,Bengaluru,4.0
1148,2025-03-05,Arjun Nair,Sandwich,food,3.0,150.0,450.0,Wallet,Hyderabad,5.0
1022,2025-06-07,Amit Reddy,Croissant,bakery,2.0,120.0,240.0,Cash,Chennai,2.0
1001,2025-01-25,Ishaan Mehta,Iced Tea,Beverage,1.0,120.0,120.0,Cash,Kolkata,5.0
1185,2025-01-06,Manish Gupta,Ice Cream,dessert,1.0,130.0,130.0,UPI,Mumbai,3.0
1132,2025-04-25,Manish Sharma,Ice Cream,Dessert,1.0,130.0,130.0,UPI,Pune,2.0
1153,2025-06-07,Rahul Malhotra,Bagel,BAKERY,2.0,100.0,200.0,Card,Chennai,1.0
1107,2025-02-20,,Bagel,BAKERY,1.0,100.0,100.0,Wallet,Hyderabad,4.0
